date,draw_time,d1,d2,d3,combo
2004-04-30,9PM,9,3,5,935
2004-05-01,9PM,3,3,9,339
2004-05-02,9PM,0,1,9,019
2004-05-03,9PM,7,5,8,758
2004-05-04,9PM,1,9,7,197
2004-05-05,9PM,0,7,3,073
2004-05-06,9PM,8,6,9,869
2004-05-07,9PM,6,1,9,619
2004-05-08,9PM,7,8,5,785
2004-05-09,9PM,9,3,7,937
2004-05-10,9PM,4,2,9,429
2004-05-11,9PM,2,1,5,215
2004-05-12,9PM,7,9,7,797
2004-05-13,9PM,9,1,9,919
2004-05-14,9PM,5,3,2,532
2004-05-15,9PM,7,5,6,756
2004-05-16,9PM,7,5,6,756
2004-05-17,9PM,7,0,0,700
2004-05-18,9PM,8,1,7,817
2004-05-19,9PM,9,1,2,912
2004-05-20,9PM,2,9,8,298
2004-05-21,9PM,5,6,0,560
2004-05-22,9PM,5,7,4,574
2004-05-23,9PM,2,4,8,248
2004-05-24,9PM,9,7,2,972
2004-05-25,9PM,8,8,6,886
2004-05-26,9PM,0,5,8,058
2004-05-27,9PM,0,0,2,002
2004-05-28,9PM,7,0,0,700
2004-05-29,9PM,2,1,7,217
2004-05-30,9PM,0,9,6,096
2004-05-31,9PM,9,2,8,928
2004-06-01,9PM,0,4,9,049
2004-06-02,9PM,4,5,5,455
2004-06-03,9PM,5,3,5,535
2004-06-04,9PM,9,6,9,969
2004-06-05,9PM,9,3,0,930
2004-06-06,9PM,7,2,9,729
2004-06-07,9PM,3,6,6,366
2004-06-08,9PM,7,5,1,751
2004-06-09,9PM,5,4,5,545
2004-06-10,9PM,1,3,1,131
2004-06-11,9PM,6,6,2,662
2004-06-12,9PM,2,0,2,202
2004-06-13,9PM,7,2,0,720
2004-06-14,9PM,4,5,1,451
2004-06-15,9PM,4,3,9,439
2004-06-16,9PM,6,3,3,633
2004-06-17,9PM,4,6,9,469
2004-06-18,9PM,0,7,5,075
2004-06-19,9PM,3,3,2,332
2004-06-20,9PM,7,3,5,735
2004-06-21,9PM,3,3,0,330
2004-06-22,9PM,4,5,1,451
2004-06-23,9PM,5,0,4,504
